Redirect Type,Source Example,Destination Example,Where to Import
General - Advanced Search,https://search.domain.com/idx/search/advanced,https://www.domain.com/homes-for-sale-search/,Redirection Plugin (WordPress)
General - Featured Listings,https://search.domain.com/idx/featured,https://www.domain.com/homes-for-sale-featured/,Redirection Plugin (WordPress)
General - Market Reports,https://search.domain.com/idx/market-reports,https://www.domain.com/homes-for-sale-search/,Redirection Plugin (WordPress)
General - Mortgage,https://search.domain.com/idx/mortgage,https://www.domain.com/mortgage-calculator/,Redirection Plugin (WordPress)
General - Home Valuation,https://search.domain.com/idx/homevaluation,https://www.domain.com/valuation-form/,Redirection Plugin (WordPress)
General - Agent Roster,https://search.domain.com/idx/roster,https://www.domain.com/agent-list/,Redirection Plugin (WordPress)
General - Address Search,https://search.domain.com/idx/search/address,https://www.domain.com/homes-for-sale-search/,Redirection Plugin (WordPress)
General - Smart Search,https://search.domain.com/idx/search/smart,https://www.domain.com/homes-for-sale-search/,Redirection Plugin (WordPress)
General - Basic Search,https://search.domain.com/idx/search/basic,https://www.domain.com/homes-for-sale-search/,Redirection Plugin (WordPress)
General - Email Update Signup,https://search.domain.com/idx/search/emailupdatesignup,https://www.domain.com/homes-for-sale-search/,Redirection Plugin (WordPress)
General - Listing ID Search,https://search.domain.com/idx/search/listingid,https://www.domain.com/homes-for-sale-search/,Redirection Plugin (WordPress)
General - Map Search,https://search.domain.com/idx/map/mapsearch,https://www.domain.com/homes-for-sale-search/,Redirection Plugin (WordPress)
General - Open House,https://search.domain.com/idx/featuredopenhouse,https://www.domain.com/open-home-search/,Redirection Plugin (WordPress)
General - Virtual Tour,https://search.domain.com/idx/featuredvirtualtour,https://www.domain.com/homes-for-sale-search/,Redirection Plugin (WordPress)
General - Sold/Pending,https://search.domain.com/idx/soldpending,https://www.domain.com/sold-featured-listing/,Redirection Plugin (WordPress)
General - Supplemental,https://search.domain.com/idx/supplemental,https://www.domain.com/supplemental-listing/,Redirection Plugin (WordPress)
General - Link Showcase,https://search.domain.com/idx/linkshowcase,https://www.domain.com/homes-for-sale-search/,Redirection Plugin (WordPress)
General - Contact,https://search.domain.com/idx/contact,https://www.domain.com/contact-us/,Redirection Plugin (WordPress)
General - User Login,https://search.domain.com/idx/userlogin,https://www.domain.com/property-organizer-login/,Redirection Plugin (WordPress)
General - User Signup,https://search.domain.com/idx/usersignup,https://www.domain.com/property-organizer-login/?section=signin,Redirection Plugin (WordPress)
General - Search by City,https://search.domain.com/idx/searchbycity,https://www.domain.com/homes-for-sale-search/,Redirection Plugin (WordPress)
General - Sitemap,https://search.domain.com/idx/sitemap,https://www.domain.com/homes-for-sale-search/,Redirection Plugin (WordPress)
Saved Search,https://search.domain.com/i/saved-search-slug,https://www.domain.com/listing-report/Market-Name/iHF-ID,Cloudflare Bulk Redirects (or Pressable support if no Cloudflare)
